.id	ID	SEX	GER	LIN	MADRE	PADRE	AGE	P49	line	selection	IS_PM	IS_NSL	IS_PNS	PM_ZS	PM_ZI	PM_MT	NSL_NA	NSL_ZS	NSL_ZI	NA_BR	NA_PNS	BR_PT	BR_APET	PT_APET	PT_BA	PT_EAM	PT_ZYGO	PT_TSP	ZS_ZI	ZI_MT	ZI_ZYGO	ZI_TSP	MT_PNS	PNS_APET	APET_BA	APET_TS	BA_EAM	EAM_ZYGO	ZYGO_TSP	LD_AS	BR_LD	OPI_LD	PT_AS	JP_AS	BA_OPI
downwards.s	270846	F	53	s	270500	270649	153	21	s	downwards	5.090683971	2.877972568	12.2299343209	6.5113653528	8.68398592175	6.85703392905	7.6110773872	11.36637951385	14.10987245425	7.22282316395	8.3488551057	3.7256365206	7.7404905454	8.2477647155	11.2694944691	8.28484183145	5.42447084245	3.23580360865	3.0266141785	4.4903943691	2.02438062255	3.1904404367	1.74046110125	4.62944243805	3.8457287947	3.98486572535	5.6613791596	4.7170109845	3.4824922991	6.34372459155	7.46756205075	3.27235922465	7.05119646905	4.1536386545	4.11148654135
downwards.s	270848	F	53	s	270500	270649	153	17.9	s	downwards	4.9416015889	2.90259015015	12.075554973	6.4406099168	8.2666731488	6.76734198765	7.607185553	11.3701333854	13.62112037735	6.72653467665	8.04229466745	3.9477624164	7.5348895906	8.00923660525	11.03552380795	7.98572763265	5.41248389275	3.1197628206	2.47199985495	4.17250247455	1.87655503175	2.94700291585	1.74620051555	4.1150481341	3.81860925705	3.9699553833	5.54544946875	4.8571387364	3.3501754738	5.7877533761	6.32384281835	3.724411032	6.95225295395	3.96690082945	4.04303561445
downwards.s	280018	F	53	s	270186	270149	142.052631578947	21.3	s	downwards	5.06912950405	3.04660788395	12.0518707087	6.35993758465	8.43003272655	6.5035907912	7.7411565785	11.25739336535	13.8886817652	7.12573491075	8.0828826386	3.66264318935	7.4854162351	7.9224710047	10.90623757235	8.0711095215	5.62206178975	2.8200062105	2.90310678335	4.34549550245	2.2110363623	3.26359738025	1.77598981755	4.3645764526	3.6893011898	4.04763541825	5.4241282023	4.4545893408	3.7987273817	6.0956452342	7.59661174595	3.3282536265	7.20484076505	4.2867845365	4.0903549296
upwards.h'	270154	F	47	hp	260736	260881	113	26.7	h'	upwards	4.9193	2.85775	12.2079	8.45815	9.17355	6.9368	9.45895	13.25105	14.7208	7.12	8.20325	4.0759	7.87345	8.44225	10.90705	8.5181	6.14975	3.02065	2.2657	4.4231	2.51175	3.88735	1.945	4.3152	3.9607	4.35315	5.8593	4.8001	3.53395	6.81245	7.1229	3.8065	7.3966	4.9759	4.1927
upwards.h'	270156	F	47	hp	260736	260881	113	21.8	h'	upwards	4.6013	2.94045	11.7739	8.01975	8.95075	6.916	9.1951	12.49425	14.31785	6.97925	7.9692	4.1256	7.6925	8.1993	10.57895	8.0718	5.91595	3.11665	2.69595	4.07935	2.68635	3.69425	1.9309	4.23755	3.75415	3.9523	5.55965	4.3853	3.3312	6.5639	7.3524	4.01905	7.1138	4.598	3.91725
upwards.h'	270228	F	47	hp	260730	260951	153	37.3	h'	upwards	4.8068112749	3.2704697987	12.29149909845	8.4269112734	9.58579689885	7.07679072005	9.5831822684	13.25941928345	15.25702463035	7.24600894695	8.2343412365	3.89507410755	7.98565547845	8.62486907595	11.0980197438	8.43225216385	6.0892156734	3.1231187425	2.71732654755	4.511250405	2.44435050775	3.8654959006	1.87211188365	4.7734111935	3.81966129095	4.0874994637	5.6348730426	4.49795513155	3.7530584557	6.77833685345	7.4289317252	4.2803798208	7.5195486869	4.4954153594	4.2423598172
upwards.h'	270230	F	47	hp	260730	260951	153	36.5	h'	upwards	4.68025235975	2.86817044745	12.44871483775	8.67466433625	9.6578608279	7.3996026532	9.5773438123	13.2639761721	15.0659154139	7.41380504835	8.33650328255	4.1058878786	7.85367904385	8.6326739023	11.24577328395	8.5047599344	6.11985660125	3.01062320215	2.6875188729	4.4404907126	2.60276163455	3.972747927	1.987670034	4.87646067445	3.9696553194	4.05604385205	5.68048758255	4.797721154	3.81203273615	6.8219122595	7.56616677005	4.1120522646	7.3692334199	4.8668037842	4.09875425985
upwards.h'	270232	F	47	hp	260730	260951	111	36.2	h'	upwards	4.6439384371	2.7398663215	12.24464962355	8.4815381465	9.67832433455	7.2000032689	9.6825953003	13.0272832334	14.92014761075	7.09000968865	8.21978084255	3.8206881571	7.83230021665	8.34553898445	10.69041409235	8.1375959156	5.8820350045	2.94629249105	2.49990585605	4.6429630315	2.2578946477	3.8540452511	1.87584265395	4.7055483162	3.5801285891	3.99512177195	5.6528245444	4.6655068583	3.79142506985	6.85128854745	7.5472986588	4.17601973475	7.38169358695	4.42611006525	4.3109046812
upwards.h'	270238	F	47	hp	260782	260995	153	37.3	h'	upwards	4.8372933119	2.75046794265	12.57910501105	8.5363200389	9.45234097165	7.41182431675	9.404699614	13.156192247	14.84910779675	7.1942291937	8.3768269143	4.01363156295	7.90135677015	8.49897557	11.17767370445	8.4076318567	6.1119033698	3.08172641875	2.51178126895	4.49730986455	2.3934119392	3.9365278366	1.9497239547	4.44337675755	4.0375169389	4.116086324	5.6985265443	4.86597799875	3.74112871465	6.7247133256	7.48853617115	4.05103967745	7.5554003843	4.42987945925	4.1175028062
upwards.h'	270240	F	47	hp	260782	260995	153	36.9	h'	upwards	4.60507706165	2.8838114777	12.1403311078	8.5883282077	9.37576212275	7.18865833125	8.950141076	13.0311603053	14.67430091235	7.4786609973	8.3049533397	3.6337558184	8.07202146585	8.59750889575	11.13130115085	8.2106284545	6.1232414324	3.16646600385	2.5042919648	4.3878631303	2.5214071246	3.89644330075	1.9405616707	4.6163224835	3.8819911663	4.068526988	5.64301813715	4.63955566195	3.764684696	6.68543904975	8.18636468545	4.004659595	7.8229028165	4.1846701685	4.282260078
